Body	ViewCount	LastActivityDate	Title	LastEditorUserId	LastEditorDisplayName	LastEditDate	CommentCount	AnswerCount	AcceptedAnswerId	Score	PostTypeId	OwnerUserId	Tags	CreationDate	FavoriteCount	Id	ParentId	CommunityOwnedDate	ClosedDate
28174	4179	31033	65471	63550	0	31033	-1	7	-1	16	1	-1	2872	4243	0	34	-1	-1	-1
62575	10439	26429	16842	419	54781	26429	0	8	352	32	1	32	28830	34651	6	36	-1	-1	-1
29874	0	13303	-1	23	29420	13303	0	-1	-1	4	2	23	-1	8623	-1	37	25	-1	-1
49405	2080	58289	55208	63550	63923	58289	-1	2	45	11	1	33	24547	28975	1	39	-1	-1	-1
10788	0	18896	-1	31671	0	18896	0	-1	-1	8	2	34	-1	19521	-1	41	23	-1	-1
17351	7209	13514	46717	918414	57807	13514	1	9	77	78	1	37	59064	20207	58	42	-1	-1	-1
16314	0	56574	-1	-1	-1	-1	0	-1	-1	3	2	35	-1	56574	-1	44	39	-1	-1
52140	0	16414	-1	39	61452	16414	3	-1	-1	7	2	39	-1	62975	-1	45	39	-1	-1
29376	13079	10292	20657	214668	37799	18872	1	11	31910	33	1	40	40649	29068	8	48	-1	-1	-1
51576	0	60990	-1	38813	0	60990	1	-1	-1	10	2	43	-1	5557	-1	49	24	-1	-1
49779	0	14967	-1	-1	-1	-1	-1	-1	-1	8	2	17	-1	14967	-1	51	36	-1	-1
47390	0	58405	-1	-1	-1	-1	-1	-1	-1	4	2	23	-1	58405	-1	52	34	-1	-1
37154	0	52804	-1	-1	-1	-1	0	-1	-1	5	2	34	-1	52804	-1	53	34	-1	-1
57603	0	827	-1	-1	-1	-1	2	-1	-1	11	2	39	-1	52387	-1	56	48	-1	-1
30788	0	827	-1	-1	-1	-1	0	-1	-1	24	2	37	-1	5808	-1	58	48	-1	-1
1683	7835	26961	44032	1039608	15427	54694	-1	4	43110	16	1	45	43810	48108	2	59	-1	-1	-1
30724	0	23624	-1	-1	-1	-1	-1	-1	-1	4	2	41	-1	23624	-1	60	34	-1	-1
52511	1492	4696	50928	1039608	1647	4696	-1	4	63	4	1	-1	2603	38051	-1	61	-1	-1	-1
3255	0	26961	-1	993348	0	26961	-1	-1	-1	17	2	45	-1	35258	-1	62	59	-1	-1
42928	0	1046	-1	39	61452	1046	-1	-1	-1	5	2	39	-1	33623	-1	63	61	-1	-1
19993	0	8409	-1	338	0	8409	-1	-1	-1	3	2	35	-1	21192	-1	65	61	-1	-1
46408	905	49394	40305	1039608	15427	61301	-1	5	4521	20	1	17	38889	58501	2	66	-1	-1	-1
7673	0	49394	-1	1039608	0	49394	3	-1	-1	30	2	17	-1	27409	-1	68	66	-1	-1
40711	0	3502	-1	63550	0	3502	1	-1	-1	29	2	49	-1	29415	-1	71	19	14277	-1
18925	602	3509	44634	1039608	48824	3509	-1	3	400	8	1	25	22637	41825	-1	72	-1	-1	-1
4381	0	1824	-1	13	33112	1824	-1	-1	-1	3	2	13	-1	55855	-1	73	25	-1	-1
38305	0	63082	-1	-1	-1	-1	1	-1	-1	1	2	50	-1	63082	-1	76	42	-1	-1
48253	0	59173	-1	-1	-1	-1	2	-1	-1	41	2	40	-1	59173	-1	77	42	58894	-1
25773	0	63991	-1	-1	-1	-1	-1	-1	-1	10	2	55	-1	63991	-1	78	4	-1	-1
45305	8673	47561	38995	561309	48824	47561	0	4	62853	8	1	58	29111	16938	-1	79	-1	-1	-1
56655	2536	48491	35892	1039608	14859	48491	-1	3	124	5	1	26	18594	891	1	80	-1	-1	-1
4854	0	63202	-1	-1	-1	-1	-1	-1	-1	3	2	41	-1	63202	-1	81	34	-1	-1
46627	0	743	-1	-1	-1	-1	-1	-1	-1	6	2	51	-1	743	-1	82	36	-1	-1
11328	0	64100	-1	-1	-1	-1	-1	-1	-1	6	2	59	-1	64100	-1	83	42	-1	-1
14832	0	36819	-1	5469	59745	36819	-1	-1	-1	2	2	60	-1	63780	-1	84	16	-1	-1
26639	4856	51468	64151	84873	52558	48667	-1	11	154	22	1	59	18391	47830	5	85	-1	-1	-1
10205	0	27686	-1	39	61452	27686	0	-1	-1	32	2	39	-1	24259	-1	86	4	-1	-1
55694	0	43995	-1	-1	-1	-1	-1	-1	-1	2	2	59	-1	43995	-1	87	85	-1	-1
38065	19128	41435	61225	1399491	54781	41435	-1	10	98	39	1	61	36134	36951	13	88	-1	-1	-1
35260	0	42899	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	42899	-1	89	79	-1	-1
52506	33343	63554	7440	1039608	48824	57402	-1	6	94	94	1	58	26235	1428	78	90	-1	-1	-1
54201	0	4555	-1	63550	0	4555	-1	-1	-1	0	2	44	-1	9214	-1	91	90	-1	-1
33862	0	35959	-1	-1	-1	-1	-1	-1	-1	6	2	61	-1	35959	-1	92	90	-1	-1
13733	0	41814	-1	25	31440	41814	-1	-1	-1	0	2	25	-1	6597	-1	93	88	-1	-1
26678	0	146	-1	-1	-1	-1	2	-1	-1	88	2	39	-1	146	-1	94	90	-1	-1
55235	0	44593	-1	40	37799	44593	4	-1	-1	9	2	40	-1	10525	-1	97	85	-1	-1
47139	0	5896	-1	65	62822	5896	5	-1	-1	33	2	65	-1	56923	-1	98	88	-1	-1
43333	0	12181	-1	-1	-1	-1	-1	-1	-1	2	2	25	-1	12181	-1	99	88	-1	-1
51125	0	32247	-1	-1	-1	-1	1	-1	-1	2	2	59	-1	32247	-1	100	85	-1	-1
55403	0	20339	-1	-1	-1	-1	-1	-1	-1	2	2	40	-1	20339	-1	101	85	-1	-1
11330	0	39768	-1	1039608	0	39768	2	-1	-1	14	2	72	-1	38972	-1	103	13	-1	-1
32164	5954	5974	52721	1039608	17982	5974	0	14	112	82	1	39	12216	2959	45	104	-1	-1	-1
12010	0	16795	-1	-1	-1	-1	-1	-1	-1	4	2	61	-1	16795	-1	107	104	-1	-1
22113	10474	41735	14016	1288	36325	54857	-1	10	111	18	1	72	7509	11647	0	108	-1	-1	-1
50674	3444	2129	3366	1039608	3818	2129	4	2	2585	9	1	71	1078	10860	-1	109	-1	-1	-1
37513	0	35142	-1	-1	-1	-1	-1	-1	-1	2	2	36	-1	35142	-1	110	104	-1	-1
11091	0	19376	-1	-1	-1	-1	2	-1	-1	30	2	146270	-1	19376	-1	111	108	-1	-1
5928	0	59555	-1	25201	2046	59555	5	-1	-1	63	2	34	-1	48804	-1	112	104	-1	-1
36101	0	58003	-1	-1	-1	-1	-1	-1	-1	2	2	60	-1	58003	-1	113	108	-1	-1
15697	0	7784	-1	-1	-1	-1	-1	-1	-1	6	2	17	-1	7784	-1	114	108	-1	-1
21762	0	51003	-1	-1	-1	-1	-1	-1	-1	1	2	58	-1	51003	-1	116	108	-1	-1
48417	624	31117	57610	1039608	816	31117	-1	1	-1	6	1	83	55485	20738	1	120	-1	-1	-1
9041	18820	27305	30443	1039608	3818	40442	-1	14	183	25	1	78	32232	65478	8	123	-1	-1	-1
40666	0	56114	-1	-1	-1	-1	1	-1	-1	2	2	26	-1	56114	-1	124	80	-1	-1
50110	3814	55159	64971	202431	48824	27239	-1	19	127	16	1	58	50176	9170	1	126	-1	-1	17053
59424	0	21117	-1	35	26815	21117	2	-1	-1	26	2	35	-1	52242	-1	127	126	-1	-1
18654	0	39794	-1	-1	-1	-1	2	-1	-1	2	2	26	-1	39794	-1	128	126	-1	-1
40965	46031	22288	61673	1039608	54781	38461	2	6	-1	23	1	48	44866	51669	11	129	-1	-1	37231
61732	0	49796	-1	-1	-1	-1	1	-1	-1	0	2	59	-1	49796	-1	133	123	-1	-1
43033	443	43168	40568	1039608	63923	43168	0	1	206	4	1	71	2539	36554	-1	134	-1	-1	-1
23737	0	37690	-1	-1	-1	-1	-1	-1	-1	2	2	72	-1	37690	-1	135	129	-1	-1
17762	0	49911	-1	-1	-1	-1	-1	-1	-1	2	2	72	-1	49911	-1	139	126	-1	-1
20861	0	40654	-1	-1	-1	-1	-1	-1	-1	1	2	71	-1	40654	-1	141	129	-1	-1
47393	0	28022	-1	-1	-1	-1	-1	-1	-1	0	2	42	-1	28022	-1	142	126	-1	-1
15562	0	36393	-1	-1	-1	-1	-1	-1	-1	1	2	86	-1	36393	-1	143	126	-1	-1
19973	242	56990	3554	457500	37799	35616	0	7	-1	5	1	87	14912	33617	1	145	-1	-1	-1
29702	4535	47940	57889	1039608	0	30566	-1	7	152	10	1	30	26724	23092	5	146	-1	-1	-1
65398	0	57476	-1	-1	-1	-1	-1	-1	-1	8	2	146637	-1	57476	-1	147	42	-1	-1
5073	0	44118	-1	-1	-1	-1	-1	-1	-1	0	2	71	-1	44118	-1	148	146	-1	-1
44162	0	42927	-1	-1	-1	-1	-1	-1	-1	3	2	80	-1	42927	-1	149	145	-1	-1
57006	0	62068	-1	1	3818	62068	-1	-1	-1	8	2	44	-1	27930	-1	151	145	-1	-1
50222	0	50770	-1	30	18760	50770	2	-1	-1	6	2	146637	-1	57682	-1	152	146	-1	-1
46336	0	14282	-1	-1	-1	-1	-1	-1	-1	2	2	59	-1	14282	-1	153	146	-1	-1
41936	0	51468	-1	146637	0	51468	-1	-1	-1	13	2	146637	-1	59934	-1	154	85	-1	-1
44514	0	27652	-1	-1	-1	-1	-1	-1	-1	2	2	9	-1	27652	-1	155	108	-1	-1
2155	0	15099	-1	63550	0	15099	-1	-1	-1	12	2	146637	-1	53410	-1	156	23	-1	-1
39716	0	47940	-1	212218	0	47940	-1	-1	-1	8	2	70	-1	33963	-1	158	146	-1	-1
2234	0	10719	-1	-1	-1	-1	-1	-1	-1	15	2	42	-1	10719	-1	159	104	-1	-1
30558	0	32441	-1	-1	-1	-1	5	-1	-1	30	2	17	-1	32441	-1	160	129	-1	-1
953	0	5408	-1	-1	-1	-1	-1	-1	-1	6	2	33	-1	5408	-1	161	104	-1	-1
27709	0	57540	-1	-1	-1	-1	1	-1	-1	16	2	17	-1	57540	-1	162	8	-1	-1
50002	4560	5537	38761	1039608	30404	37318	3	7	170	47	1	83	54174	48398	15	163	-1	-1	-1
33107	46381	22420	64316	845306	36325	39081	1	8	699	13	1	91	31547	56185	4	164	-1	-1	-1
54128	0	1465	-1	-1	-1	-1	-1	-1	-1	1	2	90	-1	1465	-1	165	145	-1	-1
6813	0	21010	-1	-1	-1	-1	7	-1	-1	18	2	17	-1	21010	-1	166	163	-1	-1
29471	0	33369	-1	30	18760	33369	-1	-1	-1	1	2	30	-1	27870	-1	167	164	-1	-1
57824	0	4003	-1	-1	-1	-1	-1	-1	-1	23	2	93	-1	4003	-1	169	126	-1	-1
2324	0	29820	-1	-1	-1	-1	1	-1	-1	14	2	59	-1	29820	-1	170	163	-1	-1
29292	25296	52072	16438	1039608	24407	52072	2	26	516	136	1	83	34496	56007	140	173	-1	-1	10926
57035	5102	54360	20408	707111	6850	54360	-1	5	-1	23	1	96	20402	61236	5	174	-1	-1	-1
19357	3382	24761	16387	1039608	0	24761	-1	3	-1	8	1	65	12490	49376	-1	175	-1	-1	-1
44537	14958	21049	65113	1039608	0	21049	-1	11	207	20	1	91	26724	65464	9	176	-1	-1	-1
45686	42083	28353	63466	1039608	3818	28353	2	45	2972	111	1	83	31285	9408	77	177	-1	6122	15182
25915	0	53918	-1	39	0	53918	5	-1	-1	33	2	39	-1	42755	-1	179	177	6122	-1
7429	3894	482	8163	1039608	0	482	-1	9	539	25	1	65	57666	56130	12	180	-1	-1	-1
43788	0	64773	-1	-1	-1	-1	1	-1	-1	9	2	60	-1	64773	-1	182	177	6122	-1
43269	0	18683	-1	34088	0	18683	-1	-1	-1	20	2	86	-1	26717	-1	183	123	-1	-1
54032	0	4559	-1	-1	-1	-1	-1	-1	-1	0	2	40	-1	4559	-1	186	126	-1	-1
37125	0	51826	-1	-1	-1	-1	-1	-1	-1	1	2	55	-1	51826	-1	190	123	-1	-1
60767	0	17140	-1	-1	-1	-1	-1	-1	-1	1	2	26	-1	17140	-1	191	177	6122	-1
36180	1569	14775	57632	1039608	38871	14775	-1	4	258	16	1	91	1721	33029	-1	192	-1	-1	-1
4581	1448	31700	37401	165216	37679	31700	-1	5	197	8	1	60	37657	52341	1	194	-1	-1	-1
43023	0	11507	-1	-1	-1	-1	1	-1	-1	19	2	80	-1	11507	-1	195	173	-1	-1
11589	0	59837	-1	-1	-1	-1	-1	-1	-1	4	2	71	-1	59837	-1	197	194	-1	-1
62941	0	30993	-1	-1	-1	-1	-1	-1	-1	0	2	50	-1	30993	-1	199	180	-1	-1
41315	0	695	-1	-1	-1	-1	1	-1	-1	0	2	71	-1	695	-1	202	180	-1	-1
35867	0	56792	-1	-1	-1	-1	-1	-1	-1	4	2	35	-1	56792	-1	206	134	-1	-1
49762	0	15146	-1	177002	0	15146	2	-1	-1	24	2	50	-1	52612	-1	207	176	-1	-1
54654	0	46774	-1	-1	-1	-1	-1	-1	-1	13	2	39	-1	46774	-1	210	192	-1	-1
45976	0	18900	-1	-1	-1	-1	-1	-1	-1	3	2	96	-1	18900	-1	212	192	-1	-1
36696	1384	3501	27261	500729	149	3501	-1	10	2943318	12	1	146637	1024	59003	5	227	-1	-1	-1
58870	0	65321	-1	91	38871	65321	-1	-1	-1	5	2	91	-1	64665	-1	229	9	13632	-1
3490	5270	8071	57715	1039608	36325	8071	-1	3	1812	5	1	62	36888	65415	4	231	-1	-1	-1
542	0	276	-1	-1	-1	-1	-1	-1	-1	5	2	71	-1	276	-1	233	231	-1	-1
14761	10456	36456	17439	1039608	37679	36456	-1	4	12202	11	1	91	46108	12685	6	234	-1	-1	-1
54031	0	21683	-1	-1	-1	-1	1	-1	-1	0	2	91	-1	21683	-1	235	231	-1	-1
31655	0	62807	-1	-1	-1	-1	-1	-1	-1	2	2	48	-1	62807	-1	236	176	-1	-1
31344	2183	64378	5806	55	31699	48480	1	25	29211	19	1	100	59118	46387	6	237	-1	-1	-1
56825	0	32689	-1	-1	-1	-1	-1	-1	-1	8	2	34	-1	32689	-1	238	234	-1	-1
33758	0	12117	-1	61	2426	12117	-1	-1	-1	2	2	61	-1	11000	-1	239	237	-1	-1
30312	0	47747	-1	-1	-1	-1	-1	-1	-1	4	2	34	-1	47747	-1	240	237	-1	-1
53398	0	52569	-1	-1	-1	-1	-1	-1	-1	6	2	91	-1	52569	-1	241	237	-1	-1
711	0	35702	-1	-1	-1	-1	-1	-1	-1	3	2	71	-1	35702	-1	243	234	-1	-1
40357	0	55510	-1	-1	-1	-1	-1	-1	-1	0	2	91	-1	55510	-1	244	176	-1	-1
14845	796	34051	41860	1039608	0	34051	-1	3	176741	4	1	71	41042	19322	-1	246	-1	-1	-1
27631	767	15190	24673	1039608	0	15190	-1	6	250	6	1	103	51938	4717	1	249	-1	-1	34863
27658	0	29774	-1	-1	-1	-1	-1	-1	-1	6	2	48	-1	29774	-1	250	249	-1	-1
12077	0	51211	-1	-1	-1	-1	-1	-1	-1	3	2	34	-1	51211	-1	252	237	-1	-1
23789	0	49230	-1	-1	-1	-1	-1	-1	-1	15	2	55	-1	49230	-1	253	227	-1	-1
13216	0	32028	-1	111783	16053	32028	1	-1	-1	3	2	146637	-1	57399	-1	257	249	-1	-1
39249	0	43225	-1	-1	-1	-1	-1	-1	-1	6	2	55	-1	43225	-1	258	192	-1	-1
60811	0	15198	-1	-1	-1	-1	-1	-1	-1	2	2	70	-1	15198	-1	259	177	6122	-1
24377	2881	27799	33828	63550	41942	45449	3	10	307	22	1	91	40750	51123	11	260	-1	-1	-1
57741	3519	36556	57039	1039608	2426	36556	-1	3	607	11	1	61	481	46236	2	263	-1	-1	-1
42830	1307	40011	14644	866022	23125	40011	-1	5	-1	9	1	104	50460	2315	1	264	-1	-1	-1
12232	1905	52340	49833	4337	6915	27375	-1	5	266	10	1	105	34447	42384	3	265	-1	-1	-1
7896	0	42642	-1	-1	-1	-1	-1	-1	-1	13	2	34	-1	42642	-1	266	265	-1	-1
7890	0	6456	-1	-1	-1	-1	-1	-1	-1	1	2	101	-1	6456	-1	268	265	-1	-1
25085	0	20089	-1	63550	0	20089	1	-1	-1	1	2	91	-1	32701	-1	269	260	-1	-1
49791	0	18940	-1	103	27532	18940	-1	-1	-1	6	2	103	-1	52946	-1	273	249	-1	-1
22576	0	26727	-1	-1	-1	-1	-1	-1	-1	1	2	40	-1	26727	-1	274	227	-1	-1
33503	0	53033	-1	-1	-1	-1	-1	-1	-1	5	2	101	-1	53033	-1	275	237	-1	-1
29286	0	37653	-1	-1	-1	-1	2	-1	-1	1	2	55	-1	37653	-1	276	227	-1	-1
18031	0	15433	-1	-1	-1	-1	-1	-1	-1	4	2	106	-1	15433	-1	278	260	-1	-1
7527	2851	32736	48965	1039608	30404	32736	2	12	1559	15	1	91	16147	25999	2	279	-1	-1	-1
55862	0	35099	-1	-1	-1	-1	3	-1	-1	0	2	40	-1	35099	-1	283	227	-1	-1
20728	0	23319	-1	-1	-1	-1	-1	-1	-1	1	2	60	-1	23319	-1	284	279	-1	-1
1873	0	20951	-1	63550	0	20951	-1	-1	-1	14	2	2	-1	45664	-1	285	279	-1	-1
27507	133668	10852	12437	1039608	28957	17932	-1	13	298	193	1	109	15079	49633	56	289	-1	-1	-1
53607	0	47686	-1	-1	-1	-1	-1	-1	-1	0	2	106	-1	47686	-1	290	174	-1	-1
50300	0	26281	-1	-1	-1	-1	4	-1	-1	45	2	109	-1	26281	-1	291	289	-1	-1
20804	0	28544	-1	-1	0	28544	3	-1	-1	26	2	91	-1	63324	-1	292	289	-1	-1
48781	0	51701	-1	-1	-1	-1	-1	-1	-1	3	2	40	-1	51701	-1	297	176	-1	-1
28514	0	13628	-1	1265209	0	13628	5	-1	-1	125	2	49	-1	4975	-1	298	289	-1	-1
7488	0	5552	-1	91	38871	5552	-1	-1	-1	0	2	91	-1	4160	-1	304	109	-1	-1
25611	0	60905	-1	8521	0	60905	3	-1	-1	11	2	49	-1	2636	-1	307	260	-1	-1
3327	7876	1727	61620	1039608	31699	1727	1	25	360	51	1	106	44284	60733	26	308	-1	-1	-1
21557	0	45164	-1	-1	-1	-1	1	-1	-1	5	2	55	-1	45164	-1	310	308	-1	-1
19496	4544	31197	29028	1039608	6915	31197	-1	11	-1	59	1	34	1802	11593	30	313	-1	-1	-1
39929	24117	57031	37954	1039608	0	60319	0	13	7488	127	1	59	55815	57571	111	328	-1	-1	-1
17836	0	52581	-1	-1	-1	-1	-1	-1	-1	16	2	59	-1	52581	-1	329	328	-1	-1
60128	2357	5978	49222	1039608	29482	18834	-1	10	332	8	1	63	39048	56308	-1	330	-1	-1	-1
55092	0	34429	-1	1039608	0	34429	4	-1	-1	11	2	58	-1	12848	-1	331	328	-1	-1
49263	0	58226	-1	-1	-1	-1	-1	-1	-1	7	2	59	-1	58226	-1	332	330	-1	-1
10503	0	22375	-1	50	12738	22375	-1	-1	-1	3	2	50	-1	30260	-1	335	328	-1	-1
34625	2023	14880	63036	1039608	63923	14880	-1	6	339	13	1	61	35185	52896	-1	336	-1	-1	-1
56857	3225	7495	9416	1039608	0	7495	1	14	342	26	1	111	42623	34506	4	337	-1	-1	-1
62440	0	47185	-1	-1	-1	-1	-1	-1	-1	1	2	61	-1	47185	-1	338	337	-1	-1
38368	0	7752	-1	-1	-1	-1	1	-1	-1	17	2	59	-1	7752	-1	339	336	-1	-1
4615	0	17713	-1	-1	-1	-1	1	-1	-1	9	2	59	-1	17713	-1	342	337	-1	-1
59208	0	1480	-1	100	34844	1480	-1	-1	-1	3	2	100	-1	55385	-1	344	260	-1	-1
28482	0	58969	-1	-1	-1	-1	-1	-1	-1	0	2	50	-1	58969	-1	347	336	-1	-1
43249	0	57252	-1	-1	-1	-1	-1	-1	-1	10	2	100	-1	57252	-1	350	90	-1	-1
17426	0	58171	-1	5	40534	58171	1	-1	-1	30	2	5	-1	30957	-1	352	36	-1	-1
40937	0	48648	-1	-1	-1	-1	-1	-1	-1	0	2	116	-1	48648	-1	354	336	-1	-1
1996	0	6224	-1	106	62276	6224	-1	-1	-1	3	2	116	-1	31828	-1	356	308	-1	-1
48769	0	19069	-1	750200	41306	19069	9	-1	-1	8	2	115	-1	46271	-1	357	13	-1	-1
4804	0	46976	-1	-1	-1	-1	-1	-1	-1	5	2	109	-1	46976	-1	358	237	-1	-1
20677	0	39687	-1	-1	-1	-1	-1	-1	-1	2	2	119	-1	39687	-1	359	260	-1	-1
19139	0	60933	-1	109	28957	60933	1	-1	-1	28	2	109	-1	41804	-1	360	308	-1	-1
40100	50025	9427	37936	1039608	33448	43966	-1	24	362	34	1	115	39954	3886	33	361	-1	-1	-1
61071	0	31315	-1	80	24190	31315	1	-1	-1	19	2	80	-1	62666	-1	362	361	-1	-1
11826	0	23116	-1	-1	-1	-1	-1	-1	-1	2	2	117	-1	23116	-1	363	308	-1	-1
48437	0	8796	-1	-1	-1	-1	1	-1	-1	3	2	122	-1	8796	-1	364	361	-1	-1
49579	0	37493	-1	13430	54781	37493	4	-1	-1	24	2	116	-1	4551	-1	367	88	-1	-1
15164	0	16566	-1	-1	-1	-1	1	-1	-1	0	2	115	-1	16566	-1	368	227	-1	-1
23813	1417	36363	37281	426671	36582	36363	-1	7	515	16	1	117	33106	63195	10	369	-1	-1	-1
41725	0	34730	-1	-1	-1	-1	-1	-1	-1	1	2	122	-1	34730	-1	370	361	-1	-1
27341	21374	27901	28251	1039608	41947	35010	-1	17	396	198	1	49	15192	39760	177	371	-1	-1	-1
31095	0	10505	-1	-1	-1	-1	-1	-1	-1	12	2	124	-1	10505	-1	375	371	-1	-1
1412	0	12110	-1	63550	0	12110	3	-1	-1	2	2	122	-1	25896	-1	377	369	-1	-1
30118	3619	1722	64300	-1	0	61789	-1	1	384	11	1	122	49363	23482	2	382	-1	-1	-1
21248	0	54150	-1	-1	-1	-1	-1	-1	-1	17	2	122	-1	54150	-1	384	382	-1	-1
28194	2155	18963	13083	48387	33310	18963	-1	3	-1	13	1	134	44476	15346	-1	387	-1	-1	-1
52745	0	20554	-1	-1	-1	-1	-1	-1	-1	2	2	118	-1	20554	-1	388	361	-1	-1
52790	0	28591	-1	-1	-1	-1	1	-1	-1	11	2	134	-1	28591	-1	391	387	-1	-1
64925	0	47402	-1	91	0	47402	2	-1	-1	5	2	91	-1	41527	-1	392	387	-1	-1
50762	10871	17230	2408	1288	23903	30558	-1	18	82200	58	1	118	23445	55505	22	395	-1	-1	-1
27902	0	29510	-1	238886	55563	29510	7	-1	-1	153	2	136	-1	29612	-1	396	371	-1	-1
18775	0	26125	-1	-1	-1	-1	-1	-1	-1	0	2	135	-1	26125	-1	397	72	-1	-1
56122	0	24319	-1	-1	-1	-1	-1	-1	-1	3	2	135	-1	24319	-1	398	395	-1	-1
24646	0	41550	-1	-1	-1	-1	-1	-1	-1	6	2	136	-1	41550	-1	400	72	-1	-1
26452	55003	51572	49808	491980	0	52608	3	9	2530953	46	1	136	59276	52752	29	402	-1	-1	-1
13985	7068	61346	29723	680565	27817	32150	-1	11	414	38	1	123	20646	16472	22	403	-1	-1	-1
23134	0	4771	-1	-1	-1	-1	3	-1	-1	0	2	137	-1	4771	-1	407	164	-1	-1
8503	0	827	-1	-1	-1	-1	-1	-1	-1	9	2	137	-1	27327	-1	411	48	-1	-1
27056	0	41735	-1	1114	54964	41735	0	-1	-1	0	2	123	-1	63120	-1	412	108	-1	-1
33125	0	32080	-1	17335	0	32080	1	-1	-1	29	2	139	-1	35493	-1	414	403	-1	-1
56224	6491	50209	46846	1399491	3818	50209	1	12	738	37	1	123	39663	37475	8	415	-1	-1	-1
48079	1459	24028	14092	73488	57315	24028	-1	1	17396	10	1	268	30489	12425	1	419	-1	-1	-1
47277	0	60624	-1	3712	51384	60624	2	-1	-1	10	2	133	-1	44402	-1	420	403	-1	-1
50317	0	21632	-1	8817	6453	21632	-1	-1	-1	6	2	34	-1	4780	-1	421	415	-1	-1
4339	0	51091	-1	117	895	50666	2	-1	-1	16	2	117	-1	32358	-1	423	415	-1	-1
26882	0	21691	-1	111	6436	21691	-1	-1	-1	3	2	111	-1	19605	-1	426	395	-1	-1
20761	538	16677	51917	2134	17982	34584	-1	3	-1	5	1	123	1988	25444	-1	427	-1	-1	-1
46195	1550	55316	3745	54680	36325	55316	-1	7	432	6	1	111	4466	18408	3	429	-1	-1	-1
33310	0	48800	-1	-1	-1	-1	-1	-1	-1	1	2	136	-1	48800	-1	430	192	-1	-1
26137	0	38861	-1	-1	-1	-1	-1	-1	-1	7	2	34	-1	38861	-1	431	429	-1	-1
38459	0	53469	-1	-1	-1	-1	-1	-1	-1	4	2	52	-1	53469	-1	432	429	-1	-1
3973	0	8853	-1	-1	-1	-1	-1	-1	-1	6	2	34	-1	8853	-1	435	429	-1	-1
59469	5352	20187	59498	2961	8178	5169	-1	8	77397	19	1	136	50783	33863	7	438	-1	-1	-1
30300	0	60019	-1	-1	-1	-1	-1	-1	-1	3	2	52	-1	60019	-1	442	429	-1	-1
